shipment_id,product_id,shipment_date,warehouse,quantity_received,quantity_damaged,transport_cost
SHIP0001,PROD001,2025-01-01,Lagos,100,0,800
SHIP0002,PROD002,2025-01-02,Abuja,107,3,837
SHIP0003,PROD003,2025-01-03,Port Harcourt,114,6,874
SHIP0004,PROD004,2025-01-04,Kano,121,9,911
SHIP0005,PROD005,2025-01-05,Ibadan,128,12,948
SHIP0006,PROD006,2025-01-06,Lagos,135,15,985
SHIP0007,PROD007,2025-01-07,Abuja,142,2,1022
SHIP0008,PROD008,2025-01-08,Port Harcourt,149,5,1059
SHIP0009,PROD009,2025-01-09,Kano,156,8,1096
SHIP0010,PROD010,2025-01-10,Ibadan,163,11,1133
SHIP0011,PROD011,2025-01-11,Lagos,170,14,1170
SHIP0012,PROD012,2025-01-12,Abuja,177,1,1207
SHIP0013,PROD013,2025-01-13,Port Harcourt,184,4,1244
SHIP0014,PROD014,2025-01-14,Kano,191,7,1281
SHIP0015,PROD015,2025-01-15,Ibadan,198,10,1318
SHIP0016,PROD016,2025-01-16,Lagos,205,13,1355
SHIP0017,PROD017,2025-01-17,Abuja,212,0,1392
SHIP0018,PROD018,2025-01-18,Port Harcourt,219,3,1429
SHIP0019,PROD019,2025-01-19,Kano,226,6,1466
SHIP0020,PROD020,2025-01-20,Ibadan,233,9,1503
SHIP0021,PROD021,2025-01-21,Lagos,240,12,1540
SHIP0022,PROD022,2025-01-22,Abuja,247,15,1577
SHIP0023,PROD023,2025-01-23,Port Harcourt,254,2,1614
SHIP0024,PROD024,2025-01-24,Kano,261,5,1651
SHIP0025,PROD025,2025-01-25,Ibadan,268,8,1688
SHIP0026,PROD026,2025-01-26,Lagos,275,11,1725
SHIP0027,PROD027,2025-01-27,Abuja,282,14,1762
SHIP0028,PROD028,2025-01-28,Port Harcourt,289,1,1799
SHIP0029,PROD029,2025-01-29,Kano,296,4,1836
SHIP0030,PROD030,2025-01-30,Ibadan,303,7,1873
SHIP0031,PROD031,2025-01-31,Lagos,310,10,1910
SHIP0032,PROD032,2025-02-01,Abuja,317,13,1947
SHIP0033,PROD033,2025-02-02,Port Harcourt,324,0,1984
SHIP0034,PROD034,2025-02-03,Kano,331,3,2021
SHIP0035,PROD035,2025-02-04,Ibadan,338,6,2058
SHIP0036,PROD036,2025-02-05,Lagos,345,9,2095
SHIP0037,PROD037,2025-02-06,Abuja,352,12,2132
SHIP0038,PROD038,2025-02-07,Port Harcourt,359,15,2169
SHIP0039,PROD039,2025-02-08,Kano,366,2,2206
SHIP0040,PROD040,2025-02-09,Ibadan,373,5,2243
SHIP0041,PROD041,2025-02-10,Lagos,380,8,2280
SHIP0042,PROD042,2025-02-11,Abuja,387,11,2317
SHIP0043,PROD043,2025-02-12,Port Harcourt,394,14,2354
SHIP0044,PROD044,2025-02-13,Kano,401,1,2391
SHIP0045,PROD045,2025-02-14,Ibadan,408,4,2428
SHIP0046,PROD046,2025-02-15,Lagos,415,7,2465
SHIP0047,PROD047,2025-02-16,Abuja,422,10,2502
SHIP0048,PROD048,2025-02-17,Port Harcourt,429,13,2539
SHIP0049,PROD049,2025-02-18,Kano,436,0,2576
SHIP0050,PROD050,2025-02-19,Ibadan,443,3,2613
SHIP0051,PROD051,2025-02-20,Lagos,450,6,2650
SHIP0052,PROD052,2025-02-21,Abuja,457,9,2687
SHIP0053,PROD053,2025-02-22,Port Harcourt,464,12,2724
SHIP0054,PROD054,2025-02-23,Kano,471,15,2761
SHIP0055,PROD055,2025-02-24,Ibadan,478,2,2798
SHIP0056,PROD056,2025-02-25,Lagos,485,5,2835
SHIP0057,PROD057,2025-02-26,Abuja,492,8,2872
SHIP0058,PROD058,2025-02-27,Port Harcourt,499,11,2909
SHIP0059,PROD059,2025-02-28,Kano,105,14,2946
SHIP0060,PROD060,2025-03-01,Ibadan,112,1,2983
SHIP0061,PROD061,2025-03-02,Lagos,119,4,819
SHIP0062,PROD062,2025-03-03,Abuja,126,7,856
SHIP0063,PROD063,2025-03-04,Port Harcourt,133,10,893
SHIP0064,PROD064,2025-03-05,Kano,140,13,930
SHIP0065,PROD065,2025-03-06,Ibadan,147,0,967
SHIP0066,PROD066,2025-03-07,Lagos,154,3,1004
SHIP0067,PROD067,2025-03-08,Abuja,161,6,1041
SHIP0068,PROD068,2025-03-09,Port Harcourt,168,9,1078
SHIP0069,PROD069,2025-03-10,Kano,175,12,1115
SHIP0070,PROD070,2025-03-11,Ibadan,182,15,1152
SHIP0071,PROD071,2025-03-12,Lagos,189,2,1189
SHIP0072,PROD072,2025-03-13,Abuja,196,5,1226
SHIP0073,PROD073,2025-03-14,Port Harcourt,203,8,1263
SHIP0074,PROD074,2025-03-15,Kano,210,11,1300
SHIP0075,PROD075,2025-03-16,Ibadan,217,14,1337
SHIP0076,PROD076,2025-03-17,Lagos,224,1,1374
SHIP0077,PROD077,2025-03-18,Abuja,231,4,1411
SHIP0078,PROD078,2025-03-19,Port Harcourt,238,7,1448
SHIP0079,PROD079,2025-03-20,Kano,245,10,1485
SHIP0080,PROD080,2025-03-21,Ibadan,252,13,1522
SHIP0081,PROD081,2025-03-22,Lagos,259,0,1559
SHIP0082,PROD082,2025-03-23,Abuja,266,3,1596
SHIP0083,PROD083,2025-03-24,Port Harcourt,273,6,1633
SHIP0084,PROD084,2025-03-25,Kano,280,9,1670
SHIP0085,PROD085,2025-03-26,Ibadan,287,12,1707
SHIP0086,PROD086,2025-03-27,Lagos,294,15,1744
SHIP0087,PROD087,2025-03-28,Abuja,301,2,1781
SHIP0088,PROD088,2025-03-29,Port Harcourt,308,5,1818
SHIP0089,PROD089,2025-03-30,Kano,315,8,1855
SHIP0090,PROD090,2025-03-31,Ibadan,322,11,1892
SHIP0091,PROD091,2025-04-01,Lagos,329,14,1929
SHIP0092,PROD092,2025-04-02,Abuja,336,1,1966
SHIP0093,PROD093,2025-04-03,Port Harcourt,343,4,2003
SHIP0094,PROD094,2025-04-04,Kano,350,7,2040
SHIP0095,PROD095,2025-04-05,Ibadan,357,10,2077
SHIP0096,PROD096,2025-04-06,Lagos,364,13,2114
SHIP0097,PROD097,2025-04-07,Abuja,371,0,2151
SHIP0098,PROD098,2025-04-08,Port Harcourt,378,3,2188
SHIP0099,PROD099,2025-04-09,Kano,385,6,2225
SHIP0100,PROD100,2025-04-10,Ibadan,392,9,2262
SHIP0101,PROD001,2025-04-11,Lagos,399,12,2299
SHIP0102,PROD002,2025-04-12,Abuja,406,15,2336
SHIP0103,PROD003,2025-04-13,Port Harcourt,413,2,2373
SHIP0104,PROD004,2025-04-14,Kano,420,5,2410
SHIP0105,PROD005,2025-04-15,Ibadan,427,8,2447
SHIP0106,PROD006,2025-04-16,Lagos,434,11,2484
SHIP0107,PROD007,2025-04-17,Abuja,441,14,2521
SHIP0108,PROD008,2025-04-18,Port Harcourt,448,1,2558
SHIP0109,PROD009,2025-04-19,Kano,455,4,2595
SHIP0110,PROD010,2025-04-20,Ibadan,462,7,2632
SHIP0111,PROD011,2025-04-21,Lagos,469,10,2669
SHIP0112,PROD012,2025-04-22,Abuja,476,13,2706
SHIP0113,PROD013,2025-04-23,Port Harcourt,483,0,2743
SHIP0114,PROD014,2025-04-24,Kano,490,3,2780
SHIP0115,PROD015,2025-04-25,Ibadan,497,6,2817
